INFO  - 2014-11-08 17:11:36.212; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-11-08 17:11:36.214; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-11-08 17:11:36.214; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2014-11-08 17:11:36.217; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2014-11-08 17:11:36.218; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2014-11-08 17:11:36.218; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-11-08 17:11:36.219; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-11-08 17:11:36.220; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-11-08 17:11:36.220; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2014-11-08 17:11:36.221; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-11-08 17:11:36.221; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2014-11-08 17:11:36.224; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/dist/solr-cell-4.10.2.jar' to classloader
INFO  - 2014-11-08 17:11:36.225; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2014-11-08 17:11:36.225; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2014-11-08 17:11:36.226; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-11-08 17:11:36.227; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-11-08 17:11:36.227; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-11-08 17:11:36.227; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-11-08 17:11:36.228; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-11-08 17:11:36.230; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-11-08 17:11:36.231; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/dist/solr-clustering-4.10.2.jar' to classloader
INFO  - 2014-11-08 17:11:36.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-11-08 17:11:36.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-11-08 17:11:36.234; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/dist/solr-langid-4.10.2.jar' to classloader
INFO  - 2014-11-08 17:11:36.235; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2014-11-08 17:11:36.236; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-11-08 17:11:36.236; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-11-08 17:11:36.237; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-11-08 17:11:36.238; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/dist/solr-velocity-4.10.2.jar' to classloader
INFO  - 2014-11-08 17:11:36.304; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-11-08 17:11:36.313; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.2
INFO  - 2014-11-08 17:11:36.533; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-11-08 17:11:36.546; org.apache.solr.schema.IndexSchema; Reading Solr Schema from C:\Development\solr-4.10.2\example\solr\collection1\conf\schema.xml
INFO  - 2014-11-08 17:11:36.612; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-11-08 17:11:37.368; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-11-08 17:11:37.380; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-11-08 17:11:37.381; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-11-08 17:11:37.473; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-11-08 17:11:37.479; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-11-08 17:11:37.594; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir C:\Development\solr-4.10.2\example\solr\collection1\
INFO  - 2014-11-08 17:11:37.636; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-11-08 17:11:37.645; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\Development\solr-4.10.2\example\solr\collection1\, dataDir=C:\Development\solr-4.10.2\example\solr\collection1\data\
INFO  - 2014-11-08 17:11:37.669; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-11-08 17:11:37.678; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-11-08 17:11:37.679; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-11-08 17:11:37.814; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Development\solr-4.10.2\example\solr\collection1\data
INFO  - 2014-11-08 17:11:37.854; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\Development\solr-4.10.2\example\solr\collection1\data\index/
WARN  - 2014-11-08 17:11:37.855; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\Development\solr-4.10.2\example\solr\collection1\data\index' doesn't exist. Creating new index...
